Timestamp,Who is your favorite music artist (broadly defined)?,What physical height would you like to be?,"If you had to live in city, but could pick any city in the world, what city would you live in?","If you could have 30 minutes to talk with any person, living or dead, who would you pick?","If you could travel to any location in the world for vacation, where would you go?",On a scale of 1 (gross) to five (awesome) how much do you like pizza?,Is Chicago-style deep dish actually pizza or is it really casserole?,What sport do you most enjoy watching?,Which is the most difficult to spell? ,What is the optimal number of people to hang out with?,Do you think you talk more or less than the average person?,"If you had a time machine and could visit any year you like, which year would you pick?",What's you favorite inspirational quote? You don't need to do this from memory. Feel free to look something up and then paste it in here. 
8/26/2019 13:25,Travis Scott,200.66,Chicago,LeBron James,New Zealand,4,pizza,basketball,hors d'oeuvre,1,Less,2016,with great power comes great responsibility - Uncle Ben
8/26/2019 13:30,Kanye West,195.58,New York City,JFK,Arctic,5,pizza,Basketball,hors d'oeuvre,6-Apr,More,3019,Be the change you want to see in the world
8/26/2019 13:35,All Time Low,170.18,"Athens, Greece",Tina Fey,Ireland,5,pizza,Hockey,hors d'oeuvre,3,More,1985,"Be yourself, everyone else is already taken-Oscar Wilde"
8/26/2019 13:35,"The Weeknd, Halsey, multiple EDM artists ",190.5,Manchester,I have no clue (Yoda maybe?),Bali or a tour of Europe,5,pizza,Soccer (the real football),liasion,6-Apr,Less,1999,"be you, cos everyone else is already taken (idk who this is by)"
8/26/2019 13:35,Odesza,172.72,"Cannes, France",My Great-Gramma,Bora Bora,5,no opinion,Football,accommodate,3,More,1960,"""Pain is temporary"""
8/26/2019 13:35,Against me,172.72,Berlin,Laura Jane Grace,Somewhere in Spain,5,pizza,Dance,lieutenant,2,Less,1977,The best revenge is to be better
8/26/2019 13:36,the rolling stones,205.74,nashville,,Antarctica ,4,pizza,hockey,hors d'oeuvre,"depends, 4-6 is most comfortable though",More,1965,id rather surround myself with 10 lions than 100 sheep
8/26/2019 13:42,Lana Del Rey,167.64,Los Angeles,Blake Lively,Spain,5,pizza,Tennis,daiquiri,5,Less,1983,"""Push yourself, because nobody else is going to do it for you."""
8/26/2019 13:44,Tech N9ne,180.34,San Francisco,JFK,Antarctica,5,pizza,Soccer,daiquiri,4,More,1963,"""Winning isn't about beating your opponent; its about making sure you surprise them, and that they never surprise you."""
8/26/2019 13:55,Luke combs,172.72,Seattle,Rosa Parks,Hawaii,3,pizza,Basketball,hors d'oeuvre,6,Less,1992,"you live simple, you train hard, you live an honest life, then you are free"
8/26/2019 14:25,Paul Simon,190.5,Seattle,Caesar,Rome,5,casserole,Lacrosse,hors d'oeuvre,3,More,2500,"Don't wait for opportunity, create it."
8/26/2019 15:04,Rnb,165.1,Seattle,My Grandpa on my mothers side,Thailand ,4,casserole,Baseball,hors d'oeuvre,3,More,1998,There are years that ask questions and years that answer. Zora Neale Hurston
8/26/2019 15:12,"To be completely honest, I don't really listen to music enough to have one. Sorry.",165.1,Dublin,Catherine II the Great,The Netherlands,4,pizza,Poker,hors d'oeuvre,4 (including me),More,This one. The past is bad.,"""Courage is what it takes to stand up and speak out. Courage is also what it takes to sit down and listen."""
8/26/2019 15:38,Ray Charles,193.04,Buenos Aires,My grandfather,"Sydney, Australia ",5,pizza,Football,hors d'oeuvre,7,Less,1776,The people who are crazy enough to think they can change the world are the ones who do-Steve Jobs
8/26/2019 15:43,The Beatles,177.8,"Paris, France",John Muir,Stockholm Sweden ,4,casserole,Baseball,daiquiri,4,More,2050,"""Simplify. Simplify. Simplify"" - Henry David Thoreau "
8/26/2019 16:05,country,172.72,"Melbourne, Australia",J. R. R. Tolkien,Iceland,5,pizza,hockey,hors d'oeuvre,3,More,1879,A flower does not think of competing with the flower next to it. It just blooms        -Zen Shin
8/26/2019 16:07,Hiroyuki Namba,187.96,Budapest,Marcus Tulius Cicero,Singapore,4,no opinion,Fencing,accommodate,4,More,1856,"It is no use painting the foot of the tree white, the strength of the bark cries out from beneath the paint. -Aimé Césaire"
8/26/2019 17:39,Coldplay,187.96,"Edinburgh, Scotland",Jesus Christ,"London, England",4,pizza,Football,hors d'oeuvre,4,Less,1700,"""Don't adventures ever have an end? I suppose not. Someone else always has to carry on the story."" -J. R. R. Tolkien"
8/26/2019 18:57,Jason Mraz,165.1,Beijing,My dad,France,3,no opinion,basketball,hors d'oeuvre,4,Less,1999, It always seems impossible until it’s done.
8/26/2019 19:00,Beyonce,165.1,"Freiburg, Germany",Trevor Noah,Singapore,4,casserole,Dance,hors d'oeuvre,3,More,2020,Let's never be the kind of people who do things lukewarmly. - David McCollough
8/26/2019 21:07,JSP,195.58,Paris,Chopin,Spain,4,no opinion,soccer,accommodate,2,Less,0,“You Learn More From Failure Than From Success. Don’t Let It Stop You. Failure Builds Character.” 
8/27/2019 17:34,"Bob Dylan, Sam Smith, James Blunt and a bunch of others",165.1,Singapore,Charles Bukowski,Moon,1,no opinion,None,hors d'oeuvre,3,Less,1919,"I think, therefore I am."
1/3/2020 23:34,Kenshi Yonezu,160.02,"Sydney, Australia",Sean Miyashiro,Dubai,3,pizza,Volleyball and figure skating,hors d'oeuvre,one,Less,1920,Push yourself because no one else is gonna do it for you
1/6/2020 15:25,Jimmy Buffett,193.04,London,Sir Author Conan Doyle,"Maui, Hawaii",3,pizza,Football,hors d'oeuvre,5,Less,1984,"""There's a lot of blood, sweat, and guts between dreams and success.""-Bear Bryant"
1/7/2020 13:32,,185.42,Denver,Elon Musk,Japan,4,pizza,Lacrosse,hors d'oeuvre,8,Less,3000,
1/8/2020 9:46,David Bowie,167.64,San Francisco,My paternal grandfather,London,5,no opinion,Roller Derby,hors d'oeuvre,2,Less,1976,"""I'm just an individual who doesn't feel that I need to have somebody qualify my work in any particular way. I'm working for me."" - Bowie"
1/8/2020 11:44,Hozier,172.72,Amsterdam,Griffin McElroy ,Sweden,4,pizza,Baseball ,hors d'oeuvre,6-May,More,Sometime in the 1920s,Every day may not be a good day but there is good in every day.
1/8/2020 11:48,Luke Combs,195.58,Boulder Colorado,Abraham Lincoln,Iceland ,4,pizza,Football,hors d'oeuvre,10,Less,2121,"""Hardships often prepare ordinary people for an extraordinary destiny."" - C. S. Lewis"
1/8/2020 13:32,Trippie Redd,190.5,Dubai,Trippe Redd,Italy,4,pizza,Football,daiquiri,6,Less,2286,"""Would you rather be feared or loved? Both. I want them to scared about how much they love me."" -Michael Scott"
1/8/2020 13:35,Trippie Redd ,187.96,"Arcola, IL ",Tiger Woods ,Aruba ,5,no opinion,Football,hors d'oeuvre,4,More,1970,"""Winning isn't everything, it's the only thing."" - Vince Lombardi "
1/8/2020 13:41,Lil Skies,193.04,Seattle,Genghis Khan,Dubai,5,pizza,Baseball,hors d'oeuvre,100,More,2000,Act as if what you do makes a difference. It does.
1/8/2020 13:45,The Beatles,193.04,"Paris, France",Nikola Tesla,Greece,5,casserole,Football,daiquiri,3,More,1965,"With the new day comes new strength and new thoughts.
Eleanor Roosevelt"
1/8/2020 13:46,J balvin,190.5,Miami,Paul Walker,Europe,4,pizza,Football,hors d'oeuvre,6-Jan,More,1st year,"If you want to succeed, as bad as you want to breath. Then you will be successful "
1/8/2020 13:47,chance the rapper,185.42,san diego,virgil abloh,Bahamas,5,casserole,football,lieutenant,3,More,1992,the best way to ruin something amazing is to compare it to something else
1/8/2020 13:49,Gorillaz,175.26,San Francisco,Chris Hemsworth,Cancun,4,pizza,Soccer,hors d'oeuvre,5,More,2008,"""Freedom is something you have to fight for, rather than something you're given. Being free means being prepared to carry that burden"""
1/8/2020 14:58,Bille Eilish,170.18,San Francisco,My Grandmother,Hawaii,5,pizza,Horse-riding,hors d'oeuvre,3,Less,1984,It always seems impossible until it's done - Nelson Mandela
1/8/2020 15:12,Ariana Grande,162.56,Boston,My dad,Thailand,5,pizza,soccer,hors d'oeuvre,3,Less,2018,"""Think like a  queen. A queen is not afraid to fail. Failure is another stepping stone to greatness."" -Oprah"
1/8/2020 15:15,Shawn James,182.88,"Duluth, Minnesota",Keanu Reeves,Hawaii,5,pizza,Swimming,hors d'oeuvre,6,More,2222,"""Life is all about resolve. Outcome is secondary."""
1/8/2020 15:27,Rainbow Kitten Surprise,170.18,"Nashville, TN",Noam Chomsky,Spain,5,pizza,football,hors d'oeuvre,2,More,2030,"""I began to realize how important it was to be an enthusiast in life. If you are interested in something, no matter what it is, go at it full speed. Embrace it with both arms, hug it, love it, and above all become passionate about it. Lukewarm is no good."" Roald Dahl"
1/8/2020 15:34,alternative rock,165.1,Laguna Beach,My sister,Vietnam,5,no opinion,Soccer ,hors d'oeuvre,4,Less,1910,When you feel like quitting think about why you started. 
1/8/2020 16:18,the Rippingtons,170.18,Makati,my dad,Samoa,4,pizza,basketball,hors d'oeuvre,1,Less,2012,"The simple things are also the most extraordinary things, and only the wise can see them."
1/8/2020 16:18,Drake,190.5,Paris,Abraham Lincoln,Hawaii,5,casserole,Football,daiquiri,3,Less,2100,"""You miss 100% of the shots you don't take"" -Wayne Gretzky"
1/8/2020 16:38,Chance the Rapper or Ariana Grande,162.56,New York ,Oprah ,Greece ,5,pizza,Basketball,hors d'oeuvre,4,More,1994,"Don't Dream your life, Live your Dream "
1/8/2020 17:49,Kanye ,170.18,"Barcelona, Spain",Barack Obama ,Antarctica,5,pizza,Football,hors d'oeuvre,3,More,1920,"Past and future obviously have no reality of their own. Just as the moon has no light of its own, but can only reflect the light of the sun, so are past and future only pale reflections of the light, power, and reality of the eternal present. Their reality is “borrowed” from the Now."
1/8/2020 22:02,Katy Perry,157.48,"Carrollton, Texas ",Mom ,"Canada, Taiwan, Korean, Vietnam, Hawaii, New York",4,pizza,Volleyball ,hors d'oeuvre,3,Less,2001,"Don’t cry because it’s over, smile because it happened. ― Dr. Seuss"
1/9/2020 0:20,Hozier,167.64,Copenhagen,Iris Apfel,Peru,5,no opinion,Soccer,lieutenant,3,Less,3000,“Sometimes you will never know the value of a moment until it becomes a memory”
1/9/2020 9:10,rap/ R&B,180.34,"Dublin, Ireland",Karl Landsteiner,Greece,2,pizza,Basketball,hors d'oeuvre,4,More,1918,"""We cannot become what we want by remaining what we are"" - Max Depree"
1/9/2020 19:26,Future,190.5,Chicago,Jesus,Italy,5,no opinion,Soccer,hors d'oeuvre,6,More,80's,you miss 100% of the shots you dont take
1/10/2020 10:31,Eminem ,193.04,New York,Micheal Jordan ,Argentina ,1,pizza,Football,hors d'oeuvre,Infinite,Less,1984,"The key to success is to focus on goals, not obstacles. "
8/16/2020 23:13,"Panic! at the Disco, but overall diverse music taste",167.64,"Probably Howell, MI or Bloomington, IL",My dad,Germany,4,no opinion,"I'm not a sports fan, unfortunately",hors d'oeuvre,"3-7, more is too crowded",More,Either 2001 or 1942,"Yesterday is history, tomorrow is a mystery, but today is a gift, that is why they call it the present."
